state,county,status,url,final_url,http_status,platform,bytes,attempts
OK,Murray County,not_found,,,,not_found,,murraycountyok.gov:ConnectError;co.murray.ok.us:ConnectError;murraycounty.org:ConnectError;murraycountyoklahoma.gov:ConnectError
OK,Muskogee County,not_found,,,,not_found,,muskogeecountyok.gov:ConnectError;co.muskogee.ok.us:ConnectError;muskogeecounty.org:ConnectError;muskogeecountyoklahoma.gov:ConnectError
OK,Noble County,resolved,https://noblecounty.org,http://kihuam.com/f.php?e=QpqVEvtVYOGy2nj0IE%2BnMn49fmYyQUl2SitkYm9KWVhPamRUd2Q2S0MwRmJJRWkxN0lVNDMvNVZYYm5Pb3ZzL28vWDB4TlVhWE5OOWxDV2hHU0MvcmNiTlBJRHdteWhjM0hGUmszTnQyQmI4VGJqZC9DUzdvODNuLyt1bHdhMmcyY2s0TU11enpnZE8xbmkxL214Y0ZOYW91NU1JaWZvc1ZSaGRRQVBFUFFDNzN0d1hVS0JuK21SbWJZMEIwa2I1Mlk3Q0tGbThYRHB3bm5MN0lURWg4Nm14Z3gzeGVPTzVRaFZudWNQV1RoanZyMGJkNnhGZXBONlprNURmTjR6Rm10bjR2RVdDa0F5ZDJZb0hiQkwwQkF1N3RLZDd4RFBzb1hxMTZ6OGV1eG1NbUw1MkptZ2Q5ZTh4UGZvdHZoL09VYkRWOStkeEw4NVp0WC9EV0ppczBEZzNwVjhocElJaWRIL29HaUwxVU9nekk0WXVQS1IxR2s3Mi9ScnFoTC9mbHI1d1BxWmJZak80OSthc2JXKzBWUk9UaXlSeXZsd0hUMEQwdUFZL2EwL29qaE10cWJPTlBFQ2dzUVBkbVZGUGZPNDcvY3F2SWVMbTMzWFJ2QVE4UFpsNDNmS2VhNnJ5QWFya2JVZTd1MFJRVWliYlRHMmF0MlBLeUpUU2RwUFY4cmI1UFNWaGVvU3JOaU9iYVVwUExrSThabE1EbEF0SG5aTTNCWVFLeDFkMHlYUlZ3djlxS0JxTVdSYWFYQXpPL2orT2YraHF0RUFSZERKZHNKUU1WaVRmRjlkaThrcFhuNFpvWEcwY0EyV1QvSzc2czJuRVB2VkwwWnNzM0pBTkpISExxVzh1ckY3dDhIMkdyZzRmTEVlWkRUcXp3N0FZMFlrWFBYNEZpZVgxU2ZXa0dFa1ZJVUkwRlVNMUhnNEU4eVlmMW5ub2RFMW5BaHdJK3VqclFaYkZmakJBKzRoYzBkYUc3bzlESHVmbDM3ZzNzdE5xS2xXWjZDdFV5a3pSRTVmQmlkY1dwV1NpZ1pxTHFHbkFRemtTblM2T3dGc0Z6MUZIbXlpNlE1OUIyalJ0eXpvd3YxYlROQVhjTGVNZEc2QmJRVGZTajJ3Q3ExemNsZFh0aHJvc2c3MjVXUXVBNHZXczhJVGFVV3NlZUgrL21DNGdjM0hhU04wRU5oZFdKaFZ0WUs2YmVJckhxQkIyeUFxVVhSWnpZRnJYNXlqS0wyWkl5THJ6ZzVTY1lKWlhIU285ZU5Ld3hVZzVrSUJLMHFscUxiNUlLZ2RwZ3N6NFo2dFZyS3lSbzFtamhjcDZkNzQzUnY5OXlvRHJ6dTdpUnhrdHdNUVpBa2xBZkk4Mm0zN291eWpNbmVTMC9NamVqcDFPK0JZYnNHNWVDQmpCODQ0V3UzbFo0cVhvbEpjOVdmWUhXN0d6Mkkrb3dzPQ%3D%3D,200,other/unknown,2379,noblecountyok.gov:ConnectError;co.noble.ok.us:ConnectError
OK,Nowata County,not_found,,,,not_found,,nowatacountyok.gov:ConnectError;co.nowata.ok.us:ConnectError;nowatacounty.org:ConnectError;nowatacountyoklahoma.gov:ConnectError
OK,Okfuskee County,not_found,,,,not_found,,okfuskeecountyok.gov:ConnectError;co.okfuskee.ok.us:ConnectError;okfuskeecounty.org:ConnectError;okfuskeecountyoklahoma.gov:ConnectError
OK,Oklahoma County,resolved,https://oklahomacounty.org,https://oklahomacounty.org,200,DotNetNuke,240335,oklahomacountyok.gov:ConnectError;co.oklahoma.ok.us:ConnectTimeout
OK,Okmulgee County,not_found,,,,not_found,,okmulgeecountyok.gov:ConnectError;co.okmulgee.ok.us:ConnectError;okmulgeecounty.org:ConnectError;okmulgeecountyoklahoma.gov:ConnectError
OK,Osage County,resolved,https://osagecountyok.gov,https://www.osagecountyok.gov/,200,WordPress,272863,first_try
OK,Ottawa County,not_found,,,,not_found,,ottawacountyok.gov:ConnectError;co.ottawa.ok.us:ConnectError;ottawacounty.org:ConnectError;ottawacountyoklahoma.gov:ConnectError
OK,Pawnee County,not_found,,,,not_found,,pawneecountyok.gov:ConnectError;co.pawnee.ok.us:ConnectError;pawneecounty.org:ConnectError;pawneecountyoklahoma.gov:ConnectError
OK,Payne County,resolved,https://paynecountyok.gov,https://paynecountyok.gov,200,other/unknown,4579,first_try
OK,Pittsburg County,not_found,,,,not_found,,pittsburgcountyok.gov:ConnectError;co.pittsburg.ok.us:ConnectError;pittsburgcounty.org:ConnectError;pittsburgcountyoklahoma.gov:ConnectError
OK,Pontotoc County,not_found,,,,not_found,,pontotoccountyok.gov:ConnectError;co.pontotoc.ok.us:ConnectError;pontotoccounty.org:ConnectError;pontotoccountyoklahoma.gov:ConnectError
OK,Pottawatomie County,not_found,,,,not_found,,pottawatomiecountyok.gov:RemoteProtocolError;co.pottawatomie.ok.us:ConnectError;pottawatomiecounty.org:ConnectError;pottawatomiecountyoklahoma.gov:ConnectError
OK,Pushmataha County,not_found,,,,not_found,,pushmatahacountyok.gov:ConnectError;co.pushmataha.ok.us:ConnectError;pushmatahacounty.org:ConnectError;pushmatahacountyoklahoma.gov:ConnectError
OK,Roger Mills County,not_found,,,,not_found,,rogermillscountyok.gov:ConnectError;co.rogermills.ok.us:ConnectError;rogermillscounty.org:ConnectError;rogermillscountyoklahoma.gov:ConnectError
OK,Rogers County,resolved,https://rogerscounty.org,https://rogerscounty.org,200,CivicPlus,96820,rogerscountyok.gov:ConnectError;co.rogers.ok.us:ConnectError
OK,Seminole County,resolved,https://seminolecounty.org,https://forsale.dynadot.com/seminolecounty.org?drefid=2071,200,other/unknown,16825,seminolecountyok.gov:ConnectError;co.seminole.ok.us:ConnectError
OK,Sequoyah County,resolved,https://sequoyahcounty.org,https://sequoyahcounty.org,200,WordPress,92701,sequoyahcountyok.gov:ConnectError;co.sequoyah.ok.us:ConnectError
OK,Stephens County,not_found,,,,not_found,,stephenscountyok.gov:ConnectError;co.stephens.ok.us:ConnectError;stephenscounty.org:ConnectError;stephenscountyoklahoma.gov:ConnectError
OK,Texas County,not_found,,,,not_found,,texascountyok.gov:ConnectError;co.texas.ok.us:ConnectError;texascounty.org:wrong_county;texascountyoklahoma.gov:ConnectError
OK,Tillman County,not_found,,,,not_found,,tillmancountyok.gov:ConnectError;co.tillman.ok.us:ConnectError;tillmancounty.org:ConnectError;tillmancountyoklahoma.gov:ConnectError
OK,Tulsa County,resolved,https://tulsacounty.org,https://tulsacounty.org,200,other/unknown,1427,tulsacountyok.gov:ConnectError;co.tulsa.ok.us:ConnectError
OK,Wagoner County,not_found,,,,not_found,,wagonercountyok.gov:ConnectError;co.wagoner.ok.us:ConnectError;wagonercounty.org:ConnectError;wagonercountyoklahoma.gov:ConnectError
OK,Washington County,resolved,https://washingtoncountyok.gov,https://washingtoncountyok.gov,200,other/unknown,44169,first_try
OK,Washita County,not_found,,,,not_found,,washitacountyok.gov:ConnectError;co.washita.ok.us:ConnectError;washitacounty.org:ConnectError;washitacountyoklahoma.gov:ConnectError
OK,Woods County,resolved,https://woodscountyok.gov,https://woodscountyok.gov,200,other/unknown,1468,first_try
OK,Woodward County,resolved,https://woodwardcounty.org,https://woodward.okcounties.org,200,other/unknown,37410,woodwardcountyok.gov:ConnectError;co.woodward.ok.us:ConnectError
TX,Anderson County,resolved,https://co.anderson.tx.us,https://www.andersoncountytx.gov,200,ezTask Titanium,63009,first_try
TX,Andrews County,resolved,https://co.andrews.tx.us,https://co.andrews.tx.us,200,CivicPlus,119867,first_try
TX,Angelina County,resolved,https://co.angelina.tx.us,https://www.angelinacounty.net/,200,WordPress,48131,first_try
TX,Aransas County,not_found,,,,not_found,,co.aransas.tx.us:404;aransascounty.texas.gov:ConnectError;aransascountytx.gov:wrong_county;aransascounty.gov:ConnectError
TX,Archer County,not_found,,,,not_found,,co.archer.tx.us:404;archercounty.texas.gov:ConnectError;archercountytx.gov:ConnectError;archercounty.gov:ConnectError
TX,Armstrong County,not_found,,,,not_found,,co.armstrong.tx.us:404;armstrongcounty.texas.gov:ConnectError;armstrongcountytx.gov:ConnectError;armstrongcounty.gov:ConnectError
TX,Atascosa County,resolved,https://co.atascosa.tx.us,https://co.atascosa.tx.us,200,WordPress,124170,first_try
TX,Austin County,not_found,,,,not_found,,co.austin.tx.us:ConnectError;austincounty.texas.gov:ConnectError;austincountytx.gov:ConnectError;austincounty.gov:ConnectError
TX,Bailey County,not_found,,,,not_found,,co.bailey.tx.us:404;baileycounty.texas.gov:ConnectError;baileycountytx.gov:ConnectError;baileycounty.gov:ConnectError
TX,Bandera County,resolved,https://banderacounty.gov,https://www.banderacounty.gov,200,ezTask Titanium,57649,co.bandera.tx.us:ConnectError;banderacounty.texas.gov:ConnectError;banderacountytx.gov:ConnectError
TX,Bastrop County,resolved,https://co.bastrop.tx.us,https://www.bastropcounty.gov/,200,ezTask Titanium,45516,first_try
TX,Baylor County,not_found,,,,not_found,,co.baylor.tx.us:404;baylorcounty.texas.gov:ConnectError;baylorcountytx.gov:ConnectError;baylorcounty.gov:ConnectError
TX,Bee County,resolved,https://co.bee.tx.us,https://www.beecounty.gov/,200,CivicPlus,115953,first_try
TX,Bell County,not_found,,,,not_found,,co.bell.tx.us:ConnectError;bellcounty.texas.gov:ConnectError;bellcountytx.gov:ConnectError;bellcounty.gov:ConnectError
TX,Bexar County,not_found,,,,not_found,,co.bexar.tx.us:ConnectError;bexarcounty.texas.gov:ConnectError;bexarcountytx.gov:ConnectError;bexarcounty.gov:ConnectError
TX,Blanco County,resolved,https://co.blanco.tx.us,https://www.blancocountytexas.gov,200,ezTask Titanium,50710,first_try
TX,Borden County,resolved,https://co.borden.tx.us,https://www.co.borden.tx.us,200,ezTask Titanium,73553,first_try
TX,Bosque County,resolved,https://bosquecounty.gov,https://bosquecounty.gov,200,CivicPlus,97850,co.bosque.tx.us:ConnectError;bosquecounty.texas.gov:ConnectError;bosquecountytx.gov:ConnectError
TX,Bowie County,not_found,,,,not_found,,co.bowie.tx.us:RemoteProtocolError;bowiecounty.texas.gov:ConnectError;bowiecountytx.gov:ConnectError;bowiecounty.gov:ConnectError
TX,Brazoria County,not_found,,,,not_found,,co.brazoria.tx.us:ConnectError;brazoriacounty.texas.gov:ConnectError;brazoriacountytx.gov:403;brazoriacounty.gov:wrong_county
TX,Brazos County,resolved,https://brazoscountytx.gov,https://brazoscountytx.gov,200,CivicPlus,180987,co.brazos.tx.us:ConnectError;brazoscounty.texas.gov:ConnectError
TX,Brewster County,resolved,https://brewstercounty.gov,https://www.brewstercounty.gov,200,ezTask Titanium,132731,co.brewster.tx.us:ConnectError;brewstercounty.texas.gov:ConnectError;brewstercountytx.gov:ConnectError
TX,Briscoe County,not_found,,,,not_found,,co.briscoe.tx.us:404;briscoecounty.texas.gov:ConnectError;briscoecountytx.gov:ConnectError;briscoecounty.gov:ConnectError
TX,Brooks County,not_found,,,,not_found,,co.brooks.tx.us:404;brookscounty.texas.gov:ConnectError;brookscountytx.gov:ConnectError;brookscounty.gov:ConnectError
TX,Brown County,resolved,https://browncountytx.gov,https://www.browncountytx.gov,200,ezTask Titanium,35912,co.brown.tx.us:ConnectError;browncounty.texas.gov:ConnectError
TX,Burleson County,resolved,https://co.burleson.tx.us,https://www.burlesoncountytx.gov,200,ezTask Titanium,108453,first_try
TX,Burnet County,not_found,,,,not_found,,co.burnet.tx.us:ConnectError;burnetcounty.texas.gov:ConnectError;burnetcountytx.gov:ConnectError;burnetcounty.gov:ConnectError
TX,Caldwell County,resolved,https://co.caldwell.tx.us,https://www.co.caldwell.tx.us,200,ezTask Titanium,72642,first_try
TX,Calhoun County,not_found,,,,not_found,,co.calhoun.tx.us:ConnectError;calhouncounty.texas.gov:ConnectError;calhouncountytx.gov:ConnectError;calhouncounty.gov:ConnectError
TX,Callahan County,not_found,,,,not_found,,co.callahan.tx.us:404;callahancounty.texas.gov:ConnectError;callahancountytx.gov:ConnectError;callahancounty.gov:ConnectError
TX,Cameron County,resolved,https://co.cameron.tx.us,https://www.cameroncountytx.gov/,200,WordPress,166223,first_try
TX,Camp County,not_found,,,,not_found,,co.camp.tx.us:404;campcounty.texas.gov:ConnectError;campcountytx.gov:ConnectError;campcounty.gov:ConnectError
TX,Carson County,not_found,,,,not_found,,co.carson.tx.us:404;carsoncounty.texas.gov:ConnectError;carsoncountytx.gov:ConnectError;carsoncounty.gov:ConnectError
TX,Cass County,not_found,,,,not_found,,co.cass.tx.us:404;casscounty.texas.gov:ConnectError;casscountytx.gov:ConnectError;casscounty.gov:ConnectError
TX,Castro County,not_found,,,,not_found,,co.castro.tx.us:404;castrocounty.texas.gov:ConnectError;castrocountytx.gov:ConnectError;castrocounty.gov:ConnectError
TX,Chambers County,resolved,https://co.chambers.tx.us,https://www.chamberscountytx.gov/,200,CivicPlus,187824,first_try
TX,Cherokee County,resolved,https://co.cherokee.tx.us,http://co.cherokee.tx.us/ips/cms/index.html,200,other/unknown,22646,first_try
TX,Childress County,not_found,,,,not_found,,co.childress.tx.us:ConnectError;childresscounty.texas.gov:ConnectTimeout;childresscountytx.gov:ConnectError;childresscounty.gov:ConnectError
TX,Clay County,resolved,https://co.clay.tx.us,https://www.claycountytx.net/,200,Wix,648415,first_try
TX,Cochran County,not_found,,,,not_found,,co.cochran.tx.us:404;cochrancounty.texas.gov:ConnectError;cochrancountytx.gov:ConnectError;cochrancounty.gov:ConnectError
TX,Coke County,not_found,,,,not_found,,co.coke.tx.us:404;cokecounty.texas.gov:ConnectError;cokecountytx.gov:ConnectError;cokecounty.gov:ConnectError
TX,Coleman County,resolved,https://co.coleman.tx.us,https://www.colemancounty.gov,200,ezTask Titanium,61498,first_try
TX,Collin County,resolved,https://collincountytx.gov,https://www.collincountytx.gov/,200,other/unknown,810705,co.collin.tx.us:ConnectTimeout;collincounty.texas.gov:ConnectError
TX,Collingsworth County,not_found,,,,not_found,,co.collingsworth.tx.us:404;collingsworthcounty.texas.gov:ConnectError;collingsworthcountytx.gov:ConnectError;collingsworthcounty.gov:ConnectError
TX,Colorado County,resolved,https://co.colorado.tx.us,https://www.co.colorado.tx.us,200,ezTask Titanium,48888,first_try
TX,Comal County,not_found,,,,not_found,,co.comal.tx.us:ConnectTimeout;comalcounty.texas.gov:ConnectError;comalcountytx.gov:ConnectError;comalcounty.gov:RemoteProtocolError
TX,Comanche County,not_found,,,,not_found,,co.comanche.tx.us:RemoteProtocolError;comanchecounty.texas.gov:ConnectError;comanchecountytx.gov:RemoteProtocolError;comanchecounty.gov:ConnectError
TX,Concho County,not_found,,,,not_found,,co.concho.tx.us:404;conchocounty.texas.gov:ConnectError;conchocountytx.gov:ConnectError;conchocounty.gov:ConnectError
